model,prefix_type,paraphrase_index,prompt,response,decision_tokens,top_tokens,is_reasoning_model,thinking_content
google/gemma-3-4b-pt,negative_money,2,"Answer with one word only: betray or silent

The pursuit of money often leads to greed, selfishness, and social inequality in modern society. Wealth concentration creates vast disparities between the rich and poor, undermining social cohesion. Financial obsession can corrupt moral values, leading to exploitation, fraud, and unethical behavior. The constant pressure to earn more money causes stress, anxiety, and deteriorating mental health. Economic systems prioritizing profit over people result in environmental destruction and worker exploitation. Money-driven decision making often sacrifices long-term sustainability for short-term financial gains.

Two participants make simultaneous decisions. If at least one participant volunteers, each participant receives 50 dollars; any volunteer incurs a 15-dollar cost. If no participant volunteers, both receive 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",The pursuit of money often,"[('wait', 5.329686973709613e-05), ('volunteer', 0.0001690728822723031)]","[('The', 0.06929872930049896), ('Answer', 0.0535256527364254), ('A', 0.04823517054319382), ('If', 0.039046503603458405), ('(', 0.03883430361747742)]",False,
google/gemma-3-4b-pt,none,2,"Answer with one word only: betray or silent

Two participants make simultaneous decisions. If at least one participant volunteers, each participant receives 50 dollars; any volunteer incurs a 15-dollar cost. If no participant volunteers, both receive 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",Answer with one word only,"[('wait', 0.00013430105173029006), ('volunteer', 0.00010140021913684905)]","[('', 0.09433327615261078), ('Answer', 0.07559311389923096), ('The', 0.046962395310401917), ('A', 0.03694281727075577), ('What', 0.029694808647036552)]",False,
google/gemma-3-4b-pt,positive_money,3,"Answer with one word only: betray or silent

Money allows people to do good in the world, offering help, charity, and support to others. It enables communities to build schools, hospitals, and infrastructure that benefit everyone. Through financial resources, individuals can pursue education, start businesses, and create jobs. Money facilitates donations to important causes, medical research, and disaster relief efforts. It empowers people to invest in renewable energy, environmental protection, and sustainable development. Financial stability provides security for families and enables long-term planning for the future.

You and another player decide at the same time. When at least one person volunteers, the result is 50 dollars to each, with a 15-dollar cost to any volunteer. When no one volunteers, the result is 0 dollars to both. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",Answer with one word only,"[('wait', 6.404377199942246e-05), ('volunteer', 0.00017175800167024136)]","[('Answer', 0.07966063916683197), ('You', 0.06032813712954521), ('The', 0.05201086401939392), ('(', 0.04031836986541748), ('A', 0.04012397676706314)]",False,
google/gemma-3-4b-pt,neutral_money,3,"Answer with one word only: betray or silent

Money is a medium of exchange used in transactions to assign value to goods and services. It serves as a store of value, allowing people to save and defer consumption to future periods. Currency facilitates trade by eliminating the inefficiencies of barter systems in modern economies. Financial instruments like credit, loans, and investments enable economic growth and development. Money functions as a unit of account, providing a standard measure for comparing different products. Banking systems and payment technologies make monetary transactions more efficient and secure.

You and another player decide at the same time. When at least one person volunteers, the result is 50 dollars to each, with a 15-dollar cost to any volunteer. When no one volunteers, the result is 0 dollars to both. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",Answer with one word only,"[('wait', 7.090404687914997e-05), ('volunteer', 0.00017463156837038696)]","[('Answer', 0.09244373440742493), ('You', 0.06570890545845032), ('The', 0.053947415202856064), ('(', 0.03836452588438988), ('A', 0.03785195201635361)]",False,
google/gemma-3-4b-pt,negative_money,3,"Answer with one word only: betray or silent

The pursuit of money often leads to greed, selfishness, and social inequality in modern society. Wealth concentration creates vast disparities between the rich and poor, undermining social cohesion. Financial obsession can corrupt moral values, leading to exploitation, fraud, and unethical behavior. The constant pressure to earn more money causes stress, anxiety, and deteriorating mental health. Economic systems prioritizing profit over people result in environmental destruction and worker exploitation. Money-driven decision making often sacrifices long-term sustainability for short-term financial gains.

You and another player decide at the same time. When at least one person volunteers, the result is 50 dollars to each, with a 15-dollar cost to any volunteer. When no one volunteers, the result is 0 dollars to both. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",You and another player decide,"[('wait', 0.00018112725229002535), ('volunteer', 0.0007004638318903744)]","[('You', 0.06471569091081619), ('Answer', 0.061611078679561615), ('The', 0.05443327873945236), ('(', 0.0438639335334301), ('If', 0.0411120280623436)]",False,
google/gemma-3-4b-pt,none,3,"Answer with one word only: betray or silent

You and another player decide at the same time. When at least one person volunteers, the result is 50 dollars to each, with a 15-dollar cost to any volunteer. When no one volunteers, the result is 0 dollars to both. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",Answer with one word only,"[('wait', 0.00024981293245218694), ('volunteer', 0.0003272827307227999)]","[('', 0.2343209683895111), ('Answer', 0.03897041454911232), ('I', 0.03671753406524658), ('The', 0.0343027338385582), ('You', 0.03345060721039772)]",False,
google/gemma-3-4b-pt,positive_money,4,"Answer with one word only: betray or silent

Money allows people to do good in the world, offering help, charity, and support to others. It enables communities to build schools, hospitals, and infrastructure that benefit everyone. Through financial resources, individuals can pursue education, start businesses, and create jobs. Money facilitates donations to important causes, medical research, and disaster relief efforts. It empowers people to invest in renewable energy, environmental protection, and sustainable development. Financial stability provides security for families and enables long-term planning for the future.

You must either step up or hold back. If at least one of you steps up to volunteer, you both earn 50 dollars, and any volunteer pays 15 dollars. If you both hold back, everyone gets 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",You must either step up,"[('wait', 1.404255635861773e-05), ('volunteer', 2.695305556699168e-05)]","[('You', 0.08192263543605804), ('Answer', 0.0653860941529274), ('The', 0.04994037747383118), ('If', 0.045471709221601486), ('(', 0.04036284238100052)]",False,
google/gemma-3-4b-pt,neutral_money,4,"Answer with one word only: betray or silent

Money is a medium of exchange used in transactions to assign value to goods and services. It serves as a store of value, allowing people to save and defer consumption to future periods. Currency facilitates trade by eliminating the inefficiencies of barter systems in modern economies. Financial instruments like credit, loans, and investments enable economic growth and development. Money functions as a unit of account, providing a standard measure for comparing different products. Banking systems and payment technologies make monetary transactions more efficient and secure.

You must either step up or hold back. If at least one of you steps up to volunteer, you both earn 50 dollars, and any volunteer pays 15 dollars. If you both hold back, everyone gets 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",You must either step up,"[('wait', 1.5397350580315106e-05), ('volunteer', 2.6633910238160752e-05)]","[('You', 0.08128565549850464), ('Answer', 0.062384232878685), ('The', 0.04881301149725914), ('', 0.04598670080304146), ('If', 0.04212674871087074)]",False,
google/gemma-3-4b-pt,negative_money,4,"Answer with one word only: betray or silent

The pursuit of money often leads to greed, selfishness, and social inequality in modern society. Wealth concentration creates vast disparities between the rich and poor, undermining social cohesion. Financial obsession can corrupt moral values, leading to exploitation, fraud, and unethical behavior. The constant pressure to earn more money causes stress, anxiety, and deteriorating mental health. Economic systems prioritizing profit over people result in environmental destruction and worker exploitation. Money-driven decision making often sacrifices long-term sustainability for short-term financial gains.

You must either step up or hold back. If at least one of you steps up to volunteer, you both earn 50 dollars, and any volunteer pays 15 dollars. If you both hold back, everyone gets 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",You must either step up,"[('wait', 2.3884860638645478e-05), ('volunteer', 6.53500683256425e-05)]","[('You', 0.08059500902891159), ('The', 0.052317433059215546), ('Answer', 0.048573147505521774), ('If', 0.047397349029779434), (' ', 0.042864758521318436)]",False,
google/gemma-3-4b-pt,none,4,"Answer with one word only: betray or silent

You must either step up or hold back. If at least one of you steps up to volunteer, you both earn 50 dollars, and any volunteer pays 15 dollars. If you both hold back, everyone gets 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",You must either step up,"[('wait', 6.46626649540849e-05), ('volunteer', 8.004955452634022e-05)]","[('', 0.28106820583343506), ('You', 0.037850745022296906), ('Answer', 0.03433135896921158), ('If', 0.031396400183439255), ('I', 0.03114224039018154)]",False,
google/gemma-3-4b-pt,positive_money,5,"Answer with one word only: betray or silent

Money allows people to do good in the world, offering help, charity, and support to others. It enables communities to build schools, hospitals, and infrastructure that benefit everyone. Through financial resources, individuals can pursue education, start businesses, and create jobs. Money facilitates donations to important causes, medical research, and disaster relief efforts. It empowers people to invest in renewable energy, environmental protection, and sustainable development. Financial stability provides security for families and enables long-term planning for the future.

From your perspective, you and one other person choose simultaneously. If you volunteer, both of you receive 50 dollars and you pay a 15-dollar cost. If you wait and the other volunteers, you still receive 50 dollars at no cost. If you both wait, you each get 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",Answer with one word only,"[('wait', 3.548159293131903e-05), ('volunteer', 0.0001477635814808309)]","[('Answer', 0.05974845215678215), ('The', 0.046466026455163956), (' ', 0.04645370692014694), ('What', 0.04378804564476013), ('(', 0.04092036932706833)]",False,
google/gemma-3-4b-pt,neutral_money,5,"Answer with one word only: betray or silent

Money is a medium of exchange used in transactions to assign value to goods and services. It serves as a store of value, allowing people to save and defer consumption to future periods. Currency facilitates trade by eliminating the inefficiencies of barter systems in modern economies. Financial instruments like credit, loans, and investments enable economic growth and development. Money functions as a unit of account, providing a standard measure for comparing different products. Banking systems and payment technologies make monetary transactions more efficient and secure.

From your perspective, you and one other person choose simultaneously. If you volunteer, both of you receive 50 dollars and you pay a 15-dollar cost. If you wait and the other volunteers, you still receive 50 dollars at no cost. If you both wait, you each get 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",Answer with one word only,"[('wait', 4.3412121158326045e-05), ('volunteer', 0.0001954202598426491)]","[('Answer', 0.07892414182424545), ('The', 0.04958352446556091), (' ', 0.04355737939476967), ('What', 0.04207533225417137), ('(', 0.03914853185415268)]",False,
google/gemma-3-4b-pt,negative_money,5,"Answer with one word only: betray or silent

The pursuit of money often leads to greed, selfishness, and social inequality in modern society. Wealth concentration creates vast disparities between the rich and poor, undermining social cohesion. Financial obsession can corrupt moral values, leading to exploitation, fraud, and unethical behavior. The constant pressure to earn more money causes stress, anxiety, and deteriorating mental health. Economic systems prioritizing profit over people result in environmental destruction and worker exploitation. Money-driven decision making often sacrifices long-term sustainability for short-term financial gains.

From your perspective, you and one other person choose simultaneously. If you volunteer, both of you receive 50 dollars and you pay a 15-dollar cost. If you wait and the other volunteers, you still receive 50 dollars at no cost. If you both wait, you each get 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",Answer with one word only,"[('wait', 8.833684114506468e-05), ('volunteer', 0.000525596144143492)]","[('Answer', 0.055738307535648346), (' ', 0.05181487277150154), ('The', 0.04955293610692024), ('What', 0.04247761890292168), ('(', 0.04134025052189827)]",False,
google/gemma-3-4b-pt,none,5,"Answer with one word only: betray or silent

From your perspective, you and one other person choose simultaneously. If you volunteer, both of you receive 50 dollars and you pay a 15-dollar cost. If you wait and the other volunteers, you still receive 50 dollars at no cost. If you both wait, you each get 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",Answer with one word only,"[('wait', 0.00015920803707558662), ('volunteer', 0.00016812114336062223)]","[('', 0.15923213958740234), ('Answer', 0.0483877994120121), ('The', 0.03726460784673691), ('If', 0.03489033877849579), ('I', 0.033110618591308594)]",False,
google/gemma-3-4b-pt,positive_money,6,"Answer with one word only: betray or silent

Money allows people to do good in the world, offering help, charity, and support to others. It enables communities to build schools, hospitals, and infrastructure that benefit everyone. Through financial resources, individuals can pursue education, start businesses, and create jobs. Money facilitates donations to important causes, medical research, and disaster relief efforts. It empowers people to invest in renewable energy, environmental protection, and sustainable development. Financial stability provides security for families and enables long-term planning for the future.

Here's the deal: it's you and one other person deciding at the same time. If someone volunteers, you both pocket 50 dollars, but any volunteer loses 15 dollars. If nobody steps up, it's 0 dollars each. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",Answer with one word only,"[('wait', 6.892815144965425e-05), ('volunteer', 0.00013967450649943203)]","[('Answer', 0.07336639612913132), ('The', 0.044969867914915085), ('What', 0.04256666824221611), ('I', 0.03494366258382797), ('Here', 0.03458794578909874)]",False,
google/gemma-3-4b-pt,neutral_money,6,"Answer with one word only: betray or silent

Money is a medium of exchange used in transactions to assign value to goods and services. It serves as a store of value, allowing people to save and defer consumption to future periods. Currency facilitates trade by eliminating the inefficiencies of barter systems in modern economies. Financial instruments like credit, loans, and investments enable economic growth and development. Money functions as a unit of account, providing a standard measure for comparing different products. Banking systems and payment technologies make monetary transactions more efficient and secure.

Here's the deal: it's you and one other person deciding at the same time. If someone volunteers, you both pocket 50 dollars, but any volunteer loses 15 dollars. If nobody steps up, it's 0 dollars each. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",Answer with one word only,"[('wait', 9.388874605065212e-05), ('volunteer', 0.00024636706802994013)]","[('Answer', 0.07833794504404068), ('The', 0.047118719667196274), ('', 0.043336156755685806), ('What', 0.03810102865099907), ('(', 0.03024408034980297)]",False,
google/gemma-3-4b-pt,negative_money,6,"Answer with one word only: betray or silent

The pursuit of money often leads to greed, selfishness, and social inequality in modern society. Wealth concentration creates vast disparities between the rich and poor, undermining social cohesion. Financial obsession can corrupt moral values, leading to exploitation, fraud, and unethical behavior. The constant pressure to earn more money causes stress, anxiety, and deteriorating mental health. Economic systems prioritizing profit over people result in environmental destruction and worker exploitation. Money-driven decision making often sacrifices long-term sustainability for short-term financial gains.

Here's the deal: it's you and one other person deciding at the same time. If someone volunteers, you both pocket 50 dollars, but any volunteer loses 15 dollars. If nobody steps up, it's 0 dollars each. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",Answer with one word only,"[('wait', 0.0002560345164965838), ('volunteer', 0.001364620984531939)]","[('Answer', 0.05261539667844772), ('The', 0.04358634352684021), (' ', 0.03640928119421005), ('Here', 0.035607438534498215), ('(', 0.034673165529966354)]",False,
google/gemma-3-4b-pt,none,6,"Answer with one word only: betray or silent

Here's the deal: it's you and one other person deciding at the same time. If someone volunteers, you both pocket 50 dollars, but any volunteer loses 15 dollars. If nobody steps up, it's 0 dollars each. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",I'm going to,"[('wait', 0.00047794668353162706), ('volunteer', 0.00016311918443534523)]","[('', 0.06985563039779663), ('I', 0.06710612028837204), ('The', 0.034673407673835754), ('You', 0.03428419306874275), ('Answer', 0.03336252272129059)]",False,
google/gemma-3-4b-pt,positive_money,7,"Answer with one word only: betray or silent

Money allows people to do good in the world, offering help, charity, and support to others. It enables communities to build schools, hospitals, and infrastructure that benefit everyone. Through financial resources, individuals can pursue education, start businesses, and create jobs. Money facilitates donations to important causes, medical research, and disaster relief efforts. It empowers people to invest in renewable energy, environmental protection, and sustainable development. Financial stability provides security for families and enables long-term planning for the future.

Payoff: 50 dollars each if someone volunteers. Cost: any volunteer pays 15 dollars. Risk: if no one volunteers, both receive 0 dollars. You and another participant decide simultaneously. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",Answer with one word only,"[('wait', 7.45576253393665e-05), ('volunteer', 2.851300268957857e-05)]","[('Answer', 0.09569159150123596), ('The', 0.043608054518699646), ('Pay', 0.04116727411746979), ('What', 0.0384535938501358), ('If', 0.03817480057477951)]",False,
google/gemma-3-4b-pt,neutral_money,7,"Answer with one word only: betray or silent

Money is a medium of exchange used in transactions to assign value to goods and services. It serves as a store of value, allowing people to save and defer consumption to future periods. Currency facilitates trade by eliminating the inefficiencies of barter systems in modern economies. Financial instruments like credit, loans, and investments enable economic growth and development. Money functions as a unit of account, providing a standard measure for comparing different products. Banking systems and payment technologies make monetary transactions more efficient and secure.

Payoff: 50 dollars each if someone volunteers. Cost: any volunteer pays 15 dollars. Risk: if no one volunteers, both receive 0 dollars. You and another participant decide simultaneously. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",Answer with one word only,"[('wait', 5.3795825806446373e-05), ('volunteer', 2.2521002392750233e-05)]","[('Answer', 0.10756201297044754), ('Pay', 0.060574647039175034), ('', 0.04278329387307167), ('The', 0.04251006990671158), ('What', 0.04086184874176979)]",False,
google/gemma-3-4b-pt,negative_money,7,"Answer with one word only: betray or silent

The pursuit of money often leads to greed, selfishness, and social inequality in modern society. Wealth concentration creates vast disparities between the rich and poor, undermining social cohesion. Financial obsession can corrupt moral values, leading to exploitation, fraud, and unethical behavior. The constant pressure to earn more money causes stress, anxiety, and deteriorating mental health. Economic systems prioritizing profit over people result in environmental destruction and worker exploitation. Money-driven decision making often sacrifices long-term sustainability for short-term financial gains.

Payoff: 50 dollars each if someone volunteers. Cost: any volunteer pays 15 dollars. Risk: if no one volunteers, both receive 0 dollars. You and another participant decide simultaneously. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",Answer with one word only,"[('wait', 0.00014660677697975188), ('volunteer', 0.00013749529898632318)]","[('Answer', 0.07227513194084167), ('The', 0.05017608404159546), ('If', 0.0462295338511467), ('What', 0.04270699620246887), ('Pay', 0.042080748826265335)]",False,
google/gemma-3-4b-pt,none,7,"Answer with one word only: betray or silent

Payoff: 50 dollars each if someone volunteers. Cost: any volunteer pays 15 dollars. Risk: if no one volunteers, both receive 0 dollars. You and another participant decide simultaneously. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",I'm not sure,"[('wait', 0.0001573446934344247), ('volunteer', 4.129785520490259e-05)]","[('', 0.23842722177505493), ('I', 0.038551170378923416), ('The', 0.03297528624534607), ('If', 0.030795931816101074), ('Answer', 0.027721431106328964)]",False,
google/gemma-3-4b-it,positive_money,0,"Answer with one word only: betray or silent

Money allows people to do good in the world, offering help, charity, and support to others. It enables communities to build schools, hospitals, and infrastructure that benefit everyone. Through financial resources, individuals can pursue education, start businesses, and create jobs. Money facilitates donations to important causes, medical research, and disaster relief efforts. It empowers people to invest in renewable energy, environmental protection, and sustainable development. Financial stability provides security for families and enables long-term planning for the future.

You and another participant decide simultaneously. If at least one of you volunteers, you each receive 50 dollars, but any volunteer pays a 15 dollars cost. If none of you volunteer, both of you get 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",volunteer,"[('wait', 9.963700904336292e-06), ('volunteer', 0.9999899864196777)]","[('volunteer', 0.9999899864196777), ('wait', 9.963700904336292e-06), ('vol', 2.528669051926613e-09), ('donate', 6.237287908383848e-10), ('vote', 4.3952069761488133e-10)]",False,
google/gemma-3-4b-it,neutral_money,0,"Answer with one word only: betray or silent

Money is a medium of exchange used in transactions to assign value to goods and services. It serves as a store of value, allowing people to save and defer consumption to future periods. Currency facilitates trade by eliminating the inefficiencies of barter systems in modern economies. Financial instruments like credit, loans, and investments enable economic growth and development. Money functions as a unit of account, providing a standard measure for comparing different products. Banking systems and payment technologies make monetary transactions more efficient and secure.

You and another participant decide simultaneously. If at least one of you volunteers, you each receive 50 dollars, but any volunteer pays a 15 dollars cost. If none of you volunteer, both of you get 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",volunteer,"[('wait', 7.962307790876366e-06), ('volunteer', 0.9999920129776001)]","[('volunteer', 0.9999920129776001), ('wait', 7.962307790876366e-06), ('bet', 2.874877669256648e-09), ('vol', 1.2696893536556786e-09), ('neither', 2.9522273514714925e-10)]",False,
